task_id,task_priority,task_size,decision,arrival_time,queue_wait_time,processing_time,total_time,completion_time,timestamp
2,8,56,VEHICLE,0.9092078358201945,0.0,3,3.0,3.9092078358201947,2026-06-22 22:40:25
1,4,30,CLOUD,0,0,6,6,6,2026-06-22 22:40:25
4,10,87,VEHICLE,4.401987765287954,0.0,2,2.0,6.401987765287954,2026-06-22 22:40:25
3,5,22,EDGE,2.733432496668363,0.0,4,4.0,6.733432496668363,2026-06-22 22:40:25
5,5,63,EDGE,6.37176929501145,0.0,4,4.0,10.37176929501145,2026-06-22 22:40:25
6,6,27,EDGE,7.828809107500233,0.0,4,4.000000000000001,11.828809107500234,2026-06-22 22:40:25
7,9,25,VEHICLE,9.005976961148825,0.0,3,3.0,12.005976961148825,2026-06-22 22:40:25
8,8,43,VEHICLE,10.300841544198697,1.705135416950128,2,3.705135416950128,14.005976961148825,2026-06-22 22:40:25
9,1,67,CLOUD,11.477481758106519,0.0,3,3.0,14.477481758106519,2026-06-22 22:40:25
11,9,79,VEHICLE,14.990721392299807,0.0,1,1.0,15.990721392299807,2026-06-22 22:40:25
10,2,14,CLOUD,13.147869061342568,0.0,5,5.0,18.14786906134257,2026-06-22 22:40:25
13,6,99,EDGE,16.690893603312713,0.0,2,2.0,18.690893603312713,2026-06-22 22:40:25
14,10,86,VEHICLE,18.16793122324774,0.0,1,1.0,19.16793122324774,2026-06-22 22:40:25
12,3,7,CLOUD,15.765260160324848,0.0,4,4.000000000000002,19.76526016032485,2026-06-22 22:40:25
15,2,18,CLOUD,19.431290161606487,0.0,3,3.0,22.431290161606487,2026-06-22 22:40:25
16,6,98,EDGE,20.925299787706518,0.0,2,2.0,22.925299787706518,2026-06-22 22:40:25
19,4,96,CLOUD,23.503071197469765,0.0,3,3.0,26.503071197469765,2026-06-22 22:40:25
17,4,31,CLOUD,21.573001828260498,0.0,6,6.0,27.573001828260498,2026-06-22 22:40:25
20,8,69,VEHICLE,25.195477585617308,0.0,3,3.0,28.195477585617308,2026-06-22 22:40:25
18,1,44,CLOUD,22.33502714184173,0.0,6,6.0,28.33502714184173,2026-06-22 22:40:25
22,10,18,VEHICLE,28.66017696189954,0.0,3,3.0,31.66017696189954,2026-06-22 22:40:25
24,5,23,EDGE,29.851075666358962,0.0,2,2.0,31.851075666358962,2026-06-22 22:40:25
23,7,18,EDGE,29.168572561430636,0.0,3,3.0,32.168572561430636,2026-06-22 22:40:25
25,9,8,VEHICLE,31.080346000150495,0.579830961749046,1,1.5798309617490425,32.66017696189954,2026-06-22 22:40:25
21,2,21,CLOUD,26.859695964611337,0.0,6,5.9999999999999964,32.85969596461133,2026-06-22 22:40:25
26,1,61,CLOUD,32.61555683491098,0.0,3,3.0,35.61555683491098,2026-06-22 22:40:25
27,5,59,EDGE,33.90454763713972,0.0,4,4.0,37.90454763713972,2026-06-22 22:40:25
30,9,80,VEHICLE,36.95895434230461,0.0,2,2.0,38.95895434230461,2026-06-22 22:40:25
29,6,89,EDGE,36.442101077589435,0.0,3,3.0,39.442101077589435,2026-06-22 22:40:25
32,8,11,VEHICLE,39.30498636639335,0.0,1,1.0,40.30498636639335,2026-06-22 22:40:25
28,3,62,CLOUD,35.57460750985152,0.0,6,6.0,41.57460750985152,2026-06-22 22:40:25
33,5,32,EDGE,40.08306136940674,0.0,2,2.0,42.08306136940674,2026-06-22 22:40:25
31,2,52,CLOUD,38.651265590643845,0.0,5,5.0,43.651265590643845,2026-06-22 22:40:25
35,9,26,VEHICLE,42.66098368746493,0.0,1,1.0,43.66098368746493,2026-06-22 22:40:25
34,7,54,EDGE,40.86400868458906,0.0,3,3.0,43.86400868458906,2026-06-22 22:40:25
36,9,77,VEHICLE,44.047027907972684,0.0,3,3.0,47.047027907972684,2026-06-22 22:40:25
38,9,39,VEHICLE,45.87683569987113,1.1701922081015539,2,3.170192208101554,49.047027907972684,2026-06-22 22:40:25
37,4,95,CLOUD,45.179673046708686,0.0,4,4.0,49.179673046708686,2026-06-22 22:40:25
39,4,53,CLOUD,47.21352437629598,0.0,3,3.0,50.21352437629598,2026-06-22 22:40:25
41,10,11,VEHICLE,50.64216614019675,0.0,1,1.0,51.64216614019675,2026-06-22 22:40:25
40,6,6,EDGE,48.85263182351278,0.0,3,3.0,51.85263182351278,2026-06-22 22:40:25
42,8,100,VEHICLE,51.837672359623724,0.0,3,3.0,54.837672359623724,2026-06-22 22:40:25
43,7,67,EDGE,53.283024275692995,0.0,3,3.0,56.283024275692995,2026-06-22 22:40:25
44,9,98,VEHICLE,54.87812766494139,0.0,3,3.0,57.87812766494139,2026-06-22 22:40:25
46,1,63,CLOUD,56.51632163858547,0.0,3,3.0,59.51632163858547,2026-06-22 22:40:25
47,6,38,EDGE,57.86918481475012,0.0,2,2.0,59.86918481475012,2026-06-22 22:40:25
45,8,21,VEHICLE,55.701201053755696,2.176926611185692,3,5.176926611185692,60.87812766494139,2026-06-22 22:40:25
50,8,99,VEHICLE,61.49453727512047,0.0,1,1.0,62.49453727512047,2026-06-22 22:40:25
49,4,35,CLOUD,59.93163197591914,0.0,3,3.0,62.93163197591914,2026-06-22 22:40:25
48,3,61,CLOUD,58.86780321328453,0.0,6,6.0,64.86780321328453,2026-06-22 22:40:25
53,8,96,VEHICLE,65.03978860483474,0.0,1,1.0,66.03978860483474,2026-06-22 22:40:25
52,5,10,EDGE,64.23233904328579,0.0,2,2.0,66.23233904328579,2026-06-22 22:40:25
51,6,14,EDGE,62.976991203399066,0.0,4,4.0,66.97699120339907,2026-06-22 22:40:25
54,10,29,VEHICLE,66.63186818549255,0.0,2,2.0,68.63186818549255,2026-06-22 22:40:25
55,7,49,EDGE,68.11802842917328,0.0,2,2.0,70.11802842917328,2026-06-22 22:40:25
58,10,99,VEHICLE,72.40306360300853,0.0,1,1.0,73.40306360300853,2026-06-22 22:40:25
56,7,18,EDGE,69.42223368220341,0.0,4,4.0,73.42223368220341,2026-06-22 22:40:25
57,2,65,CLOUD,70.88048651622368,0.0,4,4.0,74.88048651622368,2026-06-22 22:40:25
59,6,74,EDGE,73.42246965361949,0.0,2,2.0,75.42246965361949,2026-06-22 22:40:25
60,10,75,VEHICLE,75.34765169776279,0.0,2,2.0,77.34765169776279,2026-06-22 22:40:25
61,5,85,EDGE,75.91203053371586,0.0,2,2.0,77.91203053371586,2026-06-22 22:40:25
62,9,67,VEHICLE,77.1374536384854,0.21019805927738844,1,1.2101980592773884,78.34765169776279,2026-06-22 22:40:25
64,6,22,EDGE,79.36622649276373,0.0,2,2.0,81.36622649276373,2026-06-22 22:40:25
63,1,18,CLOUD,78.62879604490048,0.0,3,3.0,81.62879604490048,2026-06-22 22:40:25
66,10,50,VEHICLE,81.94242332670777,0.0,3,3.0,84.94242332670777,2026-06-22 22:40:25
65,6,18,EDGE,81.33376049077596,0.0,4,4.0,85.33376049077596,2026-06-22 22:40:25
68,8,82,VEHICLE,85.68209877266328,0.0,2,2.0,87.68209877266328,2026-06-22 22:40:25
67,3,10,CLOUD,83.78141277857353,0.0,4,4.0,87.78141277857353,2026-06-22 22:40:25
69,6,93,EDGE,86.20412239821869,0.0,2,2.0,88.20412239821869,2026-06-22 22:40:25
72,9,16,VEHICLE,89.7039668214275,0.0,3,3.0,92.7039668214275,2026-06-22 22:40:25
70,3,95,CLOUD,87.55793107613503,0.0,6,6.0,93.55793107613503,2026-06-22 22:40:25
71,2,70,CLOUD,89.16400460745344,0.0,5,5.0,94.16400460745344,2026-06-22 22:40:25
73,2,6,CLOUD,90.50164004167914,0.0,4,4.0,94.50164004167914,2026-06-22 22:40:25
75,2,91,CLOUD,91.98215866646268,1.5757724096723535,3,4.5757724096723535,96.55793107613503,2026-06-22 22:40:25
74,4,53,CLOUD,91.0359638201755,0.0,6,6.0,97.0359638201755,2026-06-22 22:40:25
76,3,22,CLOUD,93.68790925514712,0.4760953523063165,4,4.4760953523063165,98.16400460745344,2026-06-22 22:40:25
77,5,11,EDGE,95.39798029834064,0.0,3,3.0,98.39798029834064,2026-06-22 22:40:25
78,8,32,VEHICLE,96.46438859152562,0.0,2,2.0,98.46438859152562,2026-06-22 22:40:25
79,8,60,VEHICLE,98.38003489566424,0.08435369586138108,1,1.084353695861381,99.46438859152562,2026-06-22 22:40:25
80,6,46,EDGE,99.52918120065664,0.0,2,2.0,101.52918120065664,2026-06-22 22:40:25
82,6,8,EDGE,101.89766484373682,0.0,2,2.0,103.89766484373682,2026-06-22 22:40:25
81,5,40,EDGE,100.66501644446384,0.0,4,4.0,104.66501644446384,2026-06-22 22:40:25
84,6,39,EDGE,104.49170633360417,0.17331011085967418,3,3.173310110859674,107.66501644446384,2026-06-22 22:40:25
