step,decision,reward,task_latency,task_priority,vehicle_cpu,battery,edge_delay,cloud_delay
1,VEHICLE,155,15,3,30.294892256984866,67.62455685055127,36.83952271400142,129.91324032310345
2,EDGE,110,150,2,59.899754089078144,11.38695224007374,49.8508569136869,66.37034175474366
3,EDGE,135,50,1,68.62352144453087,50.53550732779546,32.91170306609345,91.6026506574573
4,EDGE,130,50,2,41.67384708374364,28.740415330216756,28.22211634373989,80.58783204552702
5,EDGE,125,150,3,32.48811141751162,98.51078781755807,16.78670738741132,108.13591675681789
6,CLOUD,135,300,1,58.686485265396165,85.78421270937875,46.621974689395316,126.0563010351713
7,EDGE,125,150,3,79.36456568542913,77.16063098165245,27.340277149109546,168.61117422222014
8,VEHICLE,155,15,3,71.73663626907285,79.33348403175906,48.86709718893848,161.98261186731878
9,VEHICLE,155,15,3,64.29326242011413,98.90906140482002,30.45559640397819,103.03260989378803
10,EDGE,135,150,1,93.54332661935334,39.94055401548535,7.736914732388644,65.07493158129085
11,VEHICLE,155,10,3,60.920638850057436,71.94940541525888,27.195720592597677,83.71885989900352
12,VEHICLE,160,15,2,34.69613189630008,35.98782997123707,9.104136617311552,132.53923135350777
13,VEHICLE,160,10,2,57.74325903134992,50.0814986159405,7.643727143793716,112.62158149007792
14,CLOUD,115,300,1,32.15154373850924,38.33162906279837,24.381526841302918,162.09547003148526
15,EDGE,135,150,1,41.66362685643064,91.74409921405618,37.72102060924012,133.8499194329475
16,CLOUD,105,300,3,32.087944873643025,55.02696478693289,35.37484458305643,179.39517162415424
17,EDGE,125,50,3,49.26583859925249,81.32771255627239,5.212499245551465,149.42472890287655
18,VEHICLE,160,10,2,48.38564949228813,43.431524930291545,40.857575938881425,134.9150261281635
19,CLOUD,105,300,3,89.12277479243335,79.77735903457626,28.45426078563128,155.85011792788654
20,VEHICLE,165,10,1,41.3035018964277,85.47224437671947,44.839669732994444,156.9827967871027
21,VEHICLE,135,10,1,86.96791030842599,89.7511744434611,41.658701751209776,92.17162609451836
22,EDGE,135,150,1,90.55818087076686,40.696246420348594,39.34646597883365,123.18648293930983
23,VEHICLE,165,10,1,77.18989656539657,49.56076460717676,46.19871378574162,120.2342865491146
24,VEHICLE,155,10,3,48.94129648728018,68.12667846959157,11.473245926243669,130.47989637770598
25,EDGE,130,50,2,39.07139592892696,47.241970724327146,22.655077263635494,131.59239830172797
26,VEHICLE,155,10,3,54.54523463290437,45.7824934055023,9.634454873201157,127.13866514348001
27,EDGE,110,150,2,54.42933307808795,17.33569027325227,49.251031333795,155.91698726753953
28,VEHICLE,155,10,3,74.4850903195615,58.74383876243223,11.149766619547249,60.17490264563823
29,CLOUD,110,300,2,85.06774302704177,90.16946256086447,28.181436813338294,162.14271328801124
30,EDGE,125,150,3,33.58006888673396,74.52935670636593,31.980940583604312,167.49279880599224
31,VEHICLE,135,15,3,58.367483050006115,16.7884112576764,49.854583411125446,165.88771802510084
32,EDGE,135,50,1,66.00775906218908,93.74726090435068,18.341096798484358,172.85103857560378
33,EDGE,110,150,2,77.6466513850502,44.219395625987445,44.72257052798756,145.19105013041582
34,EDGE,125,50,3,58.31151008551748,93.81283682502782,21.030388525953516,152.18204390401417
35,CLOUD,105,300,3,84.93321244809098,59.90121729744279,40.81370113394505,151.52709981939987
36,EDGE,110,150,2,78.87788733531134,85.75620117598726,44.58043682273129,168.17066111973085
37,EDGE,135,50,1,53.1727028521659,32.33564612210254,20.992956173580502,175.26702225225188
38,VEHICLE,155,15,3,78.07836130135965,34.83371489584175,32.73161948221016,145.68488786891132
39,CLOUD,105,300,3,34.95457192785345,53.03120378719223,47.654190222220045,178.26455719952253
40,VEHICLE,155,15,3,74.59455434543922,33.9141687977952,13.517473188365457,105.86520749543581
41,CLOUD,135,300,1,81.5679131988533,88.35609218311419,26.272084177796856,128.8108581080258
42,EDGE,125,50,3,56.33158455367745,12.559289365635651,31.922390706735627,176.12082965179255
43,VEHICLE,160,15,2,57.33137711485955,55.90545151570897,12.195399946700297,117.54840842545666
44,EDGE,125,150,3,77.805651303443,68.55721558740368,38.55493187290482,159.5551905072469
45,CLOUD,130,300,2,39.397427661430015,12.625153816527906,7.98161619481822,103.32081846306292
46,EDGE,135,150,1,66.36862609768238,23.525663369076327,23.011194634447254,95.87458536750941
47,CLOUD,125,300,3,59.19217573765732,54.46435025292517,15.710050481051933,127.12347263168095
48,VEHICLE,155,15,3,48.85297442440316,49.25363203965203,10.194119426026816,142.9021424987997
49,VEHICLE,160,10,2,47.98319358196393,69.92742531946558,18.591253035927807,71.51644249228906
50,VEHICLE,160,10,2,66.1507453961764,96.03480892662797,32.61426165389043,153.1261359655235
51,VEHICLE,135,10,1,92.1075916234787,58.61684985402127,30.59461454213478,106.3253737103789
52,CLOUD,135,300,1,76.52428802266135,77.99207051824335,9.898337819422734,129.1135807417435
53,VEHICLE,155,15,3,77.55116110937826,30.383047950409424,8.548985259799053,131.37259855126752
54,CLOUD,130,300,2,35.4082905250034,53.69726355311576,25.009962539429118,130.22821615879968
55,VEHICLE,155,10,3,46.74494253166256,97.40243755733127,29.893980346980218,95.86609860444032
56,VEHICLE,165,10,1,66.99298182811944,51.61845097076418,32.1154623334274,87.02903471171557
57,EDGE,105,150,3,87.30150292015185,48.61094426893542,45.17504176594111,72.69688865808101
58,EDGE,125,50,3,53.5596227314222,53.51181366569177,30.499603685962732,152.12000360957654
59,EDGE,130,150,2,77.79355760683791,21.087899242273586,19.766395955251646,70.64652730698913
60,VEHICLE,160,15,2,45.09845327673719,29.222397949257974,5.4324455558784,179.78891132157025
