step,vehicle_id,speed,battery,traffic_density,network_quality,task_type,decision
1,veh_1,6.1,50.76,MEDIUM,MODERATE,obstacle_detection,VEHICLE
1,veh_2,11.23,31.45,MEDIUM,MODERATE,traffic_sign_recognition,EDGE
1,veh_3,14.91,26.83,LOW,GOOD,driver_behavior_analysis,EDGE
1,veh_4,11.92,53.59,MEDIUM,GOOD,traffic_sign_recognition,EDGE
1,veh_5,15.11,51.48,LOW,GOOD,obstacle_detection,VEHICLE
1,veh_6,7.24,41.13,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
1,veh_7,6.62,34.58,MEDIUM,POOR,vehicle_diagnostics,VEHICLE
1,veh_8,15.06,13.01,LOW,GOOD,lane_detection,CLOUD
1,veh_9,11.04,23.13,MEDIUM,POOR,lane_detection,VEHICLE
1,veh_10,3.34,48.5,HIGH,MODERATE,route_planning,EDGE
1,veh_11,11.02,93.3,MEDIUM,MODERATE,route_planning,CLOUD
1,veh_12,16.28,68.21,LOW,POOR,route_planning,VEHICLE
1,veh_13,16.53,38.26,LOW,POOR,driver_behavior_analysis,VEHICLE
1,veh_14,13.12,99.7,LOW,GOOD,lane_detection,VEHICLE
1,veh_15,7.76,32.31,MEDIUM,GOOD,traffic_sign_recognition,CLOUD
1,veh_16,17.21,59.83,LOW,MODERATE,route_planning,CLOUD
1,veh_17,11.3,97.96,MEDIUM,GOOD,lane_detection,VEHICLE
1,veh_18,12.87,48.63,LOW,MODERATE,lane_detection,VEHICLE
1,veh_19,17.4,71.56,LOW,GOOD,lane_detection,VEHICLE
1,veh_20,2.29,41.36,HIGH,MODERATE,lane_detection,EDGE
1,veh_21,8.72,90.66,MEDIUM,GOOD,lane_detection,VEHICLE
1,veh_22,6.05,84.5,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
1,veh_23,17.92,16.48,LOW,POOR,lane_detection,CLOUD
1,veh_24,17.48,43.66,LOW,MODERATE,traffic_sign_recognition,CLOUD
1,veh_25,12.57,82.28,LOW,GOOD,lane_detection,VEHICLE
1,veh_26,2.02,99.3,HIGH,POOR,traffic_sign_recognition,EDGE
1,veh_27,8.75,48.7,MEDIUM,GOOD,lane_detection,VEHICLE
1,veh_28,10.03,68.89,MEDIUM,POOR,vehicle_diagnostics,VEHICLE
1,veh_29,12.52,61.01,LOW,POOR,traffic_sign_recognition,VEHICLE
1,veh_30,11.1,50.47,MEDIUM,GOOD,route_planning,EDGE
2,veh_1,4.9,31.55,HIGH,MODERATE,driver_behavior_analysis,EDGE
2,veh_2,9.81,67.12,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
2,veh_3,13.21,71.83,LOW,GOOD,traffic_sign_recognition,CLOUD
2,veh_4,9.04,73.67,MEDIUM,GOOD,vehicle_diagnostics,EDGE
2,veh_5,6.87,15.2,MEDIUM,GOOD,lane_detection,CLOUD
2,veh_6,16.17,83.55,LOW,GOOD,vehicle_diagnostics,EDGE
2,veh_7,8.63,31.37,MEDIUM,MODERATE,driver_behavior_analysis,CLOUD
2,veh_8,16.59,73.07,LOW,GOOD,obstacle_detection,VEHICLE
2,veh_9,15.33,93.18,LOW,GOOD,lane_detection,VEHICLE
2,veh_10,12.45,56.26,LOW,GOOD,traffic_sign_recognition,EDGE
2,veh_11,5.36,27.33,HIGH,GOOD,route_planning,EDGE
2,veh_12,6.7,86.14,MEDIUM,POOR,vehicle_diagnostics,VEHICLE
2,veh_13,5.4,48.37,HIGH,MODERATE,route_planning,EDGE
2,veh_14,14.07,23.24,LOW,POOR,vehicle_diagnostics,VEHICLE
2,veh_15,14.77,38.43,LOW,POOR,obstacle_detection,VEHICLE
2,veh_16,5.58,19.54,HIGH,MODERATE,obstacle_detection,CLOUD
2,veh_17,6.7,91.58,MEDIUM,GOOD,route_planning,EDGE
2,veh_18,5.59,15.47,HIGH,MODERATE,lane_detection,CLOUD
2,veh_19,10.24,22.48,MEDIUM,MODERATE,route_planning,CLOUD
2,veh_20,9.62,57.05,MEDIUM,GOOD,route_planning,EDGE
2,veh_21,9.85,13.78,MEDIUM,POOR,obstacle_detection,CLOUD
2,veh_22,6.81,82.6,MEDIUM,MODERATE,route_planning,EDGE
2,veh_23,16.06,26.99,LOW,MODERATE,route_planning,EDGE
2,veh_24,15.04,40.36,LOW,MODERATE,lane_detection,VEHICLE
2,veh_25,9.55,72.45,MEDIUM,MODERATE,obstacle_detection,VEHICLE
2,veh_26,15.02,70.34,LOW,POOR,vehicle_diagnostics,VEHICLE
2,veh_27,16.7,56.67,LOW,MODERATE,traffic_sign_recognition,CLOUD
2,veh_28,11.79,34.05,MEDIUM,MODERATE,vehicle_diagnostics,CLOUD
2,veh_29,2.72,54.2,HIGH,GOOD,driver_behavior_analysis,EDGE
2,veh_30,3.69,52.08,HIGH,GOOD,obstacle_detection,EDGE
3,veh_1,3.52,44.28,HIGH,GOOD,lane_detection,EDGE
3,veh_2,11.14,86.35,MEDIUM,POOR,traffic_sign_recognition,VEHICLE
3,veh_3,14.76,30.77,LOW,POOR,route_planning,VEHICLE
3,veh_4,10.87,81.6,MEDIUM,POOR,lane_detection,VEHICLE
3,veh_5,2.69,64.85,HIGH,POOR,driver_behavior_analysis,EDGE
3,veh_6,16.39,86.37,LOW,POOR,driver_behavior_analysis,VEHICLE
3,veh_7,8.07,41.8,MEDIUM,POOR,driver_behavior_analysis,VEHICLE
3,veh_8,2.34,94.22,HIGH,POOR,vehicle_diagnostics,EDGE
3,veh_9,5.7,10.85,HIGH,MODERATE,traffic_sign_recognition,CLOUD
3,veh_10,4.67,14.18,HIGH,MODERATE,vehicle_diagnostics,CLOUD
3,veh_11,14.24,97.56,LOW,POOR,traffic_sign_recognition,VEHICLE
3,veh_12,16.16,63.03,LOW,POOR,lane_detection,VEHICLE
3,veh_13,4.03,25.77,HIGH,GOOD,driver_behavior_analysis,EDGE
3,veh_14,12.0,98.92,LOW,POOR,traffic_sign_recognition,VEHICLE
3,veh_15,15.34,50.55,LOW,MODERATE,lane_detection,VEHICLE
3,veh_16,14.78,80.32,LOW,POOR,lane_detection,VEHICLE
3,veh_17,3.05,73.53,HIGH,MODERATE,route_planning,EDGE
3,veh_18,8.42,21.92,MEDIUM,POOR,lane_detection,VEHICLE
3,veh_19,13.89,88.47,LOW,MODERATE,vehicle_diagnostics,EDGE
3,veh_20,4.6,83.8,HIGH,POOR,lane_detection,EDGE
