step,vehicle_id,speed,position_x,position_y,traffic_density,network_quality,battery,task_type,priority,latency_requirement,task_size,decision,timestamp
0,veh1,13.89,5.1,0.0,LOW,GOOD,41.54,driver_behavior_analysis,3,114,96,EDGE,2026-06-23 00:01:30
1,veh1,13.57,18.67,0.0,LOW,MODERATE,88.81,obstacle_detection,9,12,25,VEHICLE,2026-06-23 00:01:30
2,veh1,13.8,32.46,0.0,LOW,GOOD,55.08,vehicle_diagnostics,1,135,74,CLOUD,2026-06-23 00:01:30
2,veh2,13.03,5.1,0.0,LOW,GOOD,36.16,obstacle_detection,10,22,15,VEHICLE,2026-06-23 00:01:30
3,veh1,14.66,47.13,0.0,LOW,MODERATE,69.41,driver_behavior_analysis,3,169,95,CLOUD,2026-06-23 00:01:30
3,veh2,12.39,17.49,0.0,LOW,GOOD,82.85,obstacle_detection,10,30,15,VEHICLE,2026-06-23 00:01:30
4,veh1,13.96,61.08,0.0,LOW,MODERATE,71.7,driver_behavior_analysis,2,145,91,CLOUD,2026-06-23 00:01:30
4,veh2,12.98,30.47,0.0,LOW,GOOD,91.45,obstacle_detection,10,26,33,VEHICLE,2026-06-23 00:01:30
4,veh3,13.47,5.1,0.0,LOW,MODERATE,74.54,traffic_sign_recognition,7,57,29,EDGE,2026-06-23 00:01:30
5,veh1,13.76,74.84,0.0,LOW,GOOD,94.99,vehicle_diagnostics,4,144,95,CLOUD,2026-06-23 00:01:30
5,veh2,12.71,43.18,0.0,LOW,MODERATE,94.15,traffic_sign_recognition,6,62,43,EDGE,2026-06-23 00:01:30
5,veh3,13.33,18.43,0.0,LOW,MODERATE,38.44,route_planning,6,99,64,EDGE,2026-06-23 00:01:30
6,veh1,13.75,88.59,0.0,LOW,MODERATE,61.63,driver_behavior_analysis,3,200,92,CLOUD,2026-06-23 00:01:30
6,veh2,13.03,56.21,0.0,LOW,GOOD,64.22,vehicle_diagnostics,3,167,107,CLOUD,2026-06-23 00:01:30
6,veh3,13.16,31.59,0.0,LOW,MODERATE,88.25,route_planning,6,105,65,CLOUD,2026-06-23 00:01:30
6,veh4,13.31,5.1,0.0,LOW,GOOD,80.7,route_planning,4,97,77,EDGE,2026-06-23 00:01:30
7,veh1,14.12,102.71,0.0,LOW,GOOD,39.13,obstacle_detection,9,21,28,VEHICLE,2026-06-23 00:01:30
7,veh2,12.45,68.65,0.0,LOW,GOOD,53.94,vehicle_diagnostics,2,199,93,CLOUD,2026-06-23 00:01:30
7,veh3,13.3,44.88,0.0,LOW,GOOD,49.38,traffic_sign_recognition,6,70,38,EDGE,2026-06-23 00:01:30
7,veh4,14.36,19.46,0.0,LOW,GOOD,58.77,route_planning,5,101,69,CLOUD,2026-06-23 00:01:30
8,veh1,14.65,117.36,0.0,LOW,MODERATE,58.41,obstacle_detection,10,20,20,VEHICLE,2026-06-23 00:01:30
8,veh2,11.89,80.55,0.0,LOW,MODERATE,61.52,vehicle_diagnostics,3,159,78,CLOUD,2026-06-23 00:01:30
8,veh3,13.25,58.13,0.0,LOW,MODERATE,49.71,traffic_sign_recognition,6,39,27,EDGE,2026-06-23 00:01:30
8,veh4,13.62,33.07,0.0,LOW,GOOD,83.18,driver_behavior_analysis,3,185,102,CLOUD,2026-06-23 00:01:30
8,veh5,13.35,5.1,0.0,LOW,MODERATE,73.23,lane_detection,8,18,10,VEHICLE,2026-06-23 00:01:30
9,veh1,14.66,132.02,0.0,LOW,MODERATE,65.57,obstacle_detection,9,28,26,VEHICLE,2026-06-23 00:01:30
9,veh2,12.37,92.91,0.0,LOW,MODERATE,81.56,obstacle_detection,10,13,35,VEHICLE,2026-06-23 00:01:30
9,veh3,12.5,70.63,0.0,LOW,MODERATE,91.66,obstacle_detection,8,30,24,VEHICLE,2026-06-23 00:01:30
9,veh4,13.56,46.64,0.0,LOW,MODERATE,74.35,vehicle_diagnostics,1,106,69,CLOUD,2026-06-23 00:01:30
9,veh5,13.09,18.19,0.0,LOW,MODERATE,40.32,route_planning,4,83,76,EDGE,2026-06-23 00:01:30
10,veh1,13.65,145.67,0.0,LOW,GOOD,41.63,lane_detection,10,22,21,VEHICLE,2026-06-23 00:01:30
10,veh2,11.88,104.79,0.0,LOW,MODERATE,73.11,traffic_sign_recognition,7,43,48,EDGE,2026-06-23 00:01:30
10,veh3,12.66,83.29,0.0,LOW,GOOD,57.2,driver_behavior_analysis,1,199,78,CLOUD,2026-06-23 00:01:30
10,veh4,13.04,59.68,0.0,LOW,MODERATE,49.75,obstacle_detection,10,28,12,VEHICLE,2026-06-23 00:01:30
10,veh5,14.0,32.19,0.0,LOW,GOOD,85.42,lane_detection,10,21,21,VEHICLE,2026-06-23 00:01:30
10,veh6,11.54,5.1,0.0,LOW,GOOD,58.74,obstacle_detection,10,13,23,VEHICLE,2026-06-23 00:01:30
11,veh1,14.68,160.35,0.0,LOW,GOOD,83.44,driver_behavior_analysis,2,189,114,CLOUD,2026-06-23 00:01:30
11,veh2,12.64,117.43,0.0,LOW,MODERATE,42.24,traffic_sign_recognition,6,69,26,EDGE,2026-06-23 00:01:30
11,veh3,11.59,94.88,0.0,LOW,GOOD,91.83,driver_behavior_analysis,2,192,95,CLOUD,2026-06-23 00:01:30
11,veh4,13.52,73.2,0.0,LOW,GOOD,70.77,vehicle_diagnostics,3,130,108,CLOUD,2026-06-23 00:01:30
11,veh5,13.07,45.26,0.0,LOW,MODERATE,50.73,driver_behavior_analysis,2,124,96,CLOUD,2026-06-23 00:01:30
11,veh6,11.5,16.6,0.0,LOW,GOOD,44.16,driver_behavior_analysis,3,176,108,EDGE,2026-06-23 00:01:30
12,veh1,13.83,174.19,0.0,LOW,GOOD,74.63,lane_detection,8,22,35,VEHICLE,2026-06-23 00:01:30
12,veh2,12.6,130.03,0.0,LOW,GOOD,57.17,vehicle_diagnostics,3,182,73,CLOUD,2026-06-23 00:01:30
12,veh3,13.28,108.16,0.0,LOW,GOOD,73.55,obstacle_detection,9,10,18,VEHICLE,2026-06-23 00:01:30
12,veh4,12.29,85.49,0.0,LOW,MODERATE,49.29,obstacle_detection,10,15,24,VEHICLE,2026-06-23 00:01:30
12,veh5,13.78,59.04,0.0,LOW,MODERATE,41.87,obstacle_detection,8,12,14,VEHICLE,2026-06-23 00:01:30
12,veh6,10.29,26.89,0.0,LOW,MODERATE,52.57,driver_behavior_analysis,4,155,88,CLOUD,2026-06-23 00:01:30
13,veh1,14.38,188.57,0.0,MEDIUM,GOOD,68.13,driver_behavior_analysis,1,136,79,CLOUD,2026-06-23 00:01:30
13,veh2,12.74,142.78,0.0,MEDIUM,MODERATE,60.26,route_planning,4,119,48,CLOUD,2026-06-23 00:01:30
13,veh3,12.98,121.13,0.0,MEDIUM,GOOD,35.48,lane_detection,10,13,16,VEHICLE,2026-06-23 00:01:30
13,veh4,13.06,98.55,0.0,MEDIUM,GOOD,51.49,traffic_sign_recognition,8,35,21,EDGE,2026-06-23 00:01:30
