vehicle_cpu,battery,vehicle_speed,traffic_density,edge_delay,edge_bandwidth,cloud_delay,cloud_bandwidth,task_latency,task_priority,task_size,decision
88,18,116,66,17,84,165,136,15,3,25,EDGE
80,12,42,92,49,48,78,74,10,3,20,VEHICLE
57,60,74,26,12,87,109,99,300,1,5,CLOUD
58,26,64,10,37,28,108,199,15,3,25,VEHICLE
82,42,33,28,17,67,143,128,50,2,15,EDGE
46,79,107,41,9,98,64,107,15,3,25,VEHICLE
59,65,17,53,38,61,170,155,150,2,10,EDGE
92,21,6,38,47,82,60,112,150,2,10,CLOUD
77,66,43,82,14,84,174,182,15,3,25,VEHICLE
42,95,63,2,25,100,105,65,300,1,5,CLOUD
90,44,29,40,6,42,170,113,300,1,5,EDGE
90,74,46,76,42,49,115,125,15,3,25,VEHICLE
43,30,98,20,42,57,143,84,10,3,20,VEHICLE
67,29,21,24,45,65,82,122,50,2,15,EDGE
81,17,22,51,40,28,155,151,10,3,20,VEHICLE
57,14,100,99,21,46,108,113,10,3,20,VEHICLE
72,71,100,27,13,63,120,143,150,2,10,EDGE
49,31,119,78,5,93,72,163,50,2,15,EDGE
64,35,66,32,41,52,139,196,15,3,25,VEHICLE
40,32,68,43,43,56,114,136,50,2,15,EDGE
78,28,105,3,50,49,147,196,300,1,5,CLOUD
55,21,33,36,18,71,176,190,15,3,25,VEHICLE
55,77,115,39,20,31,128,105,150,2,10,EDGE
75,97,36,12,31,37,75,60,300,1,5,CLOUD
41,55,94,13,46,22,123,131,300,1,5,CLOUD
59,93,114,2,20,34,105,81,15,3,25,VEHICLE
54,27,39,10,10,75,122,121,50,2,15,EDGE
78,92,16,72,24,41,82,108,15,3,25,VEHICLE
85,21,48,17,23,69,84,64,15,3,25,VEHICLE
61,67,108,97,6,83,127,170,50,2,15,EDGE
64,20,102,8,13,59,119,81,10,3,20,VEHICLE
68,23,61,26,42,96,137,131,150,2,10,EDGE
91,45,58,9,17,54,129,123,50,2,15,EDGE
57,76,52,80,42,74,98,75,300,1,5,CLOUD
92,70,50,34,41,75,70,97,300,1,5,CLOUD
86,44,120,24,32,73,167,170,150,2,10,EDGE
54,28,20,29,30,54,118,198,150,2,10,EDGE
85,37,53,84,25,78,86,189,150,2,10,EDGE
60,45,109,61,33,36,167,169,10,3,20,VEHICLE
51,94,49,12,16,36,142,177,300,1,5,CLOUD
91,12,79,100,7,32,161,167,300,1,5,EDGE
94,89,87,88,47,45,121,70,50,2,15,CLOUD
70,99,55,7,17,84,131,149,150,2,10,EDGE
75,95,61,58,13,88,126,135,150,2,10,EDGE
65,46,27,19,14,65,169,74,10,3,20,VEHICLE
71,32,50,71,41,69,149,152,300,1,5,CLOUD
57,78,46,41,44,38,111,140,150,2,10,EDGE
